1	1.2060	5.4051	5.7508	222.53	314.45
2	1.0680	4.7357	5.2602	113.94	192.51
3	0.9990	4.4376	4.9806	84.57	145.56
4	0.9594	4.2988	4.8546	73.61	128.33
5	0.9329	4.2271	4.7981	68.52	121.27
6	0.9113	4.1749	4.7535	65.03	115.99
7	0.8972	4.1573	4.7363	63.90	114.01
8	0.8794	4.1265	4.7209	61.96	112.27
9	0.8673	4.0778	4.6696	59.02	106.66
10	0.8553	4.0819	4.6920	59.26	109.07
11	0.8025	4.0148	4.6193	55.41	101.42
12	0.7963	4.0062	4.6068	54.94	100.16
13	0.7917	4.0025	4.6082	54.74	100.30
14	0.7875	4.0064	4.6174	54.95	101.23
15	0.7708	3.9894	4.5965	54.02	99.14
16	0.7682	3.9885	4.5944	53.97	98.93
17	0.7683	3.9892	4.5944	54.01	98.93
18	0.7632	3.9847	4.5914	53.77	98.63
19	0.7647	3.9834	4.5898	53.70	98.47
20	0.7629	3.9831	4.5890	53.68	98.39
21	0.7631	3.9834	4.5885	53.70	98.35
22	0.7614	3.9828	4.5881	53.67	98.30
23	0.7618	3.9824	4.5880	53.65	98.29
24	0.7635	3.9823	4.5879	53.64	98.29
25	0.7626	3.9823	4.5879	53.64	98.29
