1	1.2186	5.4456	5.8141	231.73	334.98
2	1.0963	4.8202	5.3142	123.99	203.19
3	1.0409	4.5462	5.0736	94.27	159.74
4	1.0085	4.4016	4.9514	81.58	141.37
5	0.9873	4.3487	4.9046	77.38	134.90
6	0.9730	4.2868	4.8530	72.73	128.13
7	0.9589	4.2654	4.8281	71.19	124.97
8	0.9505	4.2094	4.7901	67.32	120.31
9	0.9419	4.2029	4.7912	66.88	120.44
10	0.9344	4.1668	4.7919	64.51	120.53
11	0.9300	4.1532	4.7422	63.64	114.68
12	0.9222	4.1513	4.7492	63.52	115.50
13	0.9187	4.1258	4.7371	61.92	114.10
14	0.9123	4.1344	4.7516	62.45	115.77
15	0.8823	4.0621	4.6848	58.10	108.29
16	0.8768	4.0522	4.6766	57.53	107.40
17	0.8732	4.0456	4.6716	57.15	106.87
18	0.8713	4.0467	4.6616	57.21	105.81
19	0.8614	4.0318	4.6446	56.36	104.02
20	0.8592	4.0288	4.6416	56.20	103.71
21	0.8596	4.0278	4.6395	56.13	103.49
22	0.8581	4.0225	4.6345	55.84	102.98
23	0.8568	4.0236	4.6363	55.90	103.16
24	0.8537	4.0208	4.6317	55.75	102.69
25	0.8553	4.0207	4.6321	55.74	102.73
