1	1.2013	5.3068	5.6648	201.70	288.53
2	1.0451	4.6780	5.2151	107.55	184.03
3	0.9719	4.3899	4.9394	80.63	139.69
4	0.9282	4.2786	4.8443	72.14	127.01
5	0.8962	4.2102	4.7931	67.37	120.68
6	0.8696	4.1790	4.7608	65.30	116.84
7	0.8441	4.1837	4.7868	65.61	119.91
8	0.7666	4.0685	4.6910	58.47	108.96
9	0.7552	4.0688	4.6937	58.49	109.25
10	0.7298	4.0566	4.6692	57.78	106.61
11	0.7274	4.0584	4.6703	57.88	106.73
12	0.7196	4.0527	4.6618	57.55	105.83
13	0.7186	4.0523	4.6598	57.53	105.61
14	0.7195	4.0522	4.6605	57.52	105.68
15	0.7189	4.0528	4.6608	57.56	105.72
16	0.7161	4.0525	4.6606	57.54	105.70
17	0.7158	4.0522	4.6604	57.52	105.68
18	0.7150	4.0521	4.6603	57.52	105.67
19	0.7160	4.0521	4.6603	57.52	105.67
20	0.7158	4.0520	4.6602	57.51	105.66
21	0.7167	4.0520	4.6602	57.51	105.66
22	0.7153	4.0519	4.6601	57.51	105.65
23	0.7158	4.0519	4.6601	57.51	105.65
24	0.7143	4.0519	4.6601	57.50	105.65
25	0.7161	4.0518	4.6601	57.50	105.64
